Title-module__anchor--GmXUE href	Title-module__anchor--GmXUE	ReposListItem-module__Label_2--Z6b0K	ReposListItem-module__Text_4--mkG7R	ReposListItem-module__Link_1--v5NDF	ReposListItem-module__Link_1--v5NDF href	ReposListItem-module__Link_1--v5NDF 2	ReposListItem-module__Link_1--v5NDF href 2	ReposListItem-module__Box_6--KXqca 3	ReposListItem-module__Link_1--v5NDF 3	ReposListItem-module__Link_1--v5NDF href 3
https://github.com/racket/rhombus	rhombus	Public	Racket	73	https://github.com/racket/rhombus/forks	501	https://github.com/racket/rhombus/stargazers	•	0	https://github.com/racket/rhombus/pulls
https://github.com/racket/docker	docker	Public	Shell	18	https://github.com/racket/docker/forks	66	https://github.com/racket/docker/stargazers	•	1	https://github.com/racket/docker/pulls
https://github.com/racket/racket	racket	Public	Racket	687	https://github.com/racket/racket/forks	5k	https://github.com/racket/racket/stargazers	•	105	https://github.com/racket/racket/pulls
https://github.com/racket/typed-racket	typed-racket	Public	Racket	104	https://github.com/racket/typed-racket/forks	552	https://github.com/racket/typed-racket/stargazers	•	38	https://github.com/racket/typed-racket/pulls
https://github.com/racket/racket-lang-org	racket-lang-org	Public	Racket	56	https://github.com/racket/racket-lang-org/forks	72	https://github.com/racket/racket-lang-org/stargazers	•	3	https://github.com/racket/racket-lang-org/pulls
https://github.com/racket/gui	gui	Public	Racket	80	https://github.com/racket/gui/forks	68	https://github.com/racket/gui/stargazers	•	13	https://github.com/racket/gui/pulls
https://github.com/racket/scribble	scribble	Public	Racket	98	https://github.com/racket/scribble/forks	240	https://github.com/racket/scribble/stargazers	•	27	https://github.com/racket/scribble/pulls
https://github.com/racket/rackunit	rackunit	Public	Racket	35	https://github.com/racket/rackunit/forks	19	https://github.com/racket/rackunit/stargazers	•	8	https://github.com/racket/rackunit/pulls
https://github.com/racket/drracket	drracket	Public	Racket	95	https://github.com/racket/drracket/forks	484	https://github.com/racket/drracket/stargazers	•	13	https://github.com/racket/drracket/pulls
https://github.com/racket/redex	redex	Public	Racket	38	https://github.com/racket/redex/forks	98	https://github.com/racket/redex/stargazers	•	7	https://github.com/racket/redex/pulls
https://github.com/racket/string-constants	string-constants	Public	Racket	34	https://github.com/racket/string-constants/forks	6	https://github.com/racket/string-constants/stargazers	•	6	https://github.com/racket/string-constants/pulls
https://github.com/racket/htdp	htdp	Public	Racket	73	https://github.com/racket/htdp/forks	109	https://github.com/racket/htdp/stargazers	•	4	https://github.com/racket/htdp/pulls
